Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Time
SEA,LIH,2019-12-22,662,1,(HNL),22.98,9:05a - 6:04a
SEA,LIH,2019-12-23,471,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-23,479,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-23,479,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-23,479,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-23,479,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-23,490,1,(SFO),27.42,7:20p - 8:45p
SEA,LIH,2019-12-23,492,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-23,492,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-23,495,1,(PHX),27.27,5:55p - 7:11p
SEA,LIH,2019-12-23,498,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-23,523,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-23,523,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-23,523,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-23,531,1,(OAK),0.28,9:40p - 12:40p
SEA,LIH,2019-12-23,534,1,(LAX),17.83,9:20p - 1:10p
SEA,LIH,2019-12-23,565,1,(SFO),11.27,11:29a - 8:45p
SEA,LIH,2019-12-23,573,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-23,573,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-23,573,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-23,573,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-24,363,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-24,373,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-24,423,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-24,426,0,(),6.08,10:05a - 2:10p
SEA,LIH,2019-12-24,429,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-24,439,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-24,439,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-24,441,1,(LAX),25.43,1:20p - 12:46p
SEA,LIH,2019-12-24,479,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-24,479,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-24,479,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-24,479,1,(SFO),19.78,7:20p - 1:07p
SEA,LIH,2019-12-24,483,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-24,489,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-24,489,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-24,489,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-24,489,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-24,489,2,"(OGG, HNL)",14.60,10:00a - 10:36p
SEA,LIH,2019-12-24,489,1,(OGG),30.95,10:00a - 2:57p
SEA,LIH,2019-12-24,490,1,(SFO),20.78,6:20p - 1:07p
SEA,LIH,2019-12-25,423,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-25,423,1,(PHX),12.57,5:00a - 3:34p
SEA,LIH,2019-12-25,426,0,(),6.08,10:05a - 2:10p
SEA,LIH,2019-12-25,429,1,(PHX),16.18,5:00a - 7:11p
SEA,LIH,2019-12-25,429,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-25,439,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-25,439,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-25,441,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-25,469,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-25,469,1,(OGG),8.52,10:00a - 4:31p
SEA,LIH,2019-12-25,471,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-25,479,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-25,479,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-25,483,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-25,484,1,(HNL),22.98,9:05a - 6:04a
SEA,LIH,2019-12-25,487,1,(HNL),15.52,9:05a - 10:36p
SEA,LIH,2019-12-25,487,1,(HNL),15.52,9:05a - 10:36p
SEA,LIH,2019-12-25,488,1,(HNL),23.77,9:05a - 6:51a
SEA,LIH,2019-12-25,492,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-25,495,1,(HNL),11.42,9:05a - 6:30p
SEA,LIH,2019-12-26,479,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-26,479,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-26,482,1,(SFO),27.42,7:20p - 8:45p
SEA,LIH,2019-12-26,483,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-26,490,1,(SFO),28.42,6:20p - 8:45p
SEA,LIH,2019-12-26,492,1,(LAX),27.83,7:00p - 8:50p
SEA,LIH,2019-12-26,492,1,(LAX),30.02,9:00a - 1:01p
SEA,LIH,2019-12-26,523,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-26,553,1,(LAX),27.48,8:00p - 9:29p
SEA,LIH,2019-12-26,559,1,(LAX),18.77,8:00p - 12:46p
SEA,LIH,2019-12-26,573,1,(LAX),21.42,5:21p - 12:46p
SEA,LIH,2019-12-26,577,1,(PHX),27.27,5:55p - 7:11p
SEA,LIH,2019-12-26,579,1,(LAX),13.07,10:25a - 9:29p
SEA,LIH,2019-12-26,579,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-26,607,1,(LAX),10.32,5:50a - 2:09p
SEA,LIH,2019-12-26,607,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-26,639,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-26,639,1,(SFO),19.78,7:20p - 1:07p
SEA,LIH,2019-12-26,643,1,(LAX),17.83,9:20p - 1:10p
SEA,LIH,2019-12-26,652,2,"(YYC, YVR)",27.33,9:15p - 10:35p
SEA,LIH,2019-12-27,437,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-27,437,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-27,459,1,(LAX),17.65,5:50a - 9:29p
SEA,LIH,2019-12-27,483,1,(LAX),10.15,1:20p - 9:29p
SEA,LIH,2019-12-27,489,1,(LAX),13.83,9:00a - 8:50p
SEA,LIH,2019-12-27,489,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-27,489,1,(SFO),19.78,7:20p - 1:07p
SEA,LIH,2019-12-27,489,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-27,493,2,"(SFO, HNL)",14.08,7:50a - 7:55p
SEA,LIH,2019-12-27,501,1,(SFO),20.78,6:20p - 1:07p
SEA,LIH,2019-12-27,501,1,(SFO),27.42,7:20p - 8:45p
SEA,LIH,2019-12-27,502,1,(LAX),27.83,7:00p - 8:50p
SEA,LIH,2019-12-27,502,1,(LAX),30.02,9:00a - 1:01p
SEA,LIH,2019-12-27,503,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-27,521,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-27,539,1,(PHX),16.18,5:00a - 7:11p
SEA,LIH,2019-12-27,540,1,(SFO),11.27,11:29a - 8:45p
SEA,LIH,2019-12-27,553,1,(LAX),30.13,5:21p - 9:29p
SEA,LIH,2019-12-27,557,1,(PHX),27.27,5:55p - 7:11p
SEA,LIH,2019-12-27,557,2,"(PHX, HNL)",15.08,5:00a - 6:05p
SEA,LIH,2019-12-28,328,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-28,358,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-28,380,1,(SJC),17.92,7:45p - 11:40a
SEA,LIH,2019-12-28,393,1,(SJC),17.92,7:45p - 11:40a
SEA,LIH,2019-12-28,394,1,(SJC),19.92,5:45p - 11:40a
SEA,LIH,2019-12-28,403,1,(PHX),12.93,8:15a - 7:11p
SEA,LIH,2019-12-28,424,1,(SJC),23.33,2:20p - 11:40a
SEA,LIH,2019-12-28,433,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-28,442,1,(SJC),23.33,2:20p - 11:40a
SEA,LIH,2019-12-28,448,1,(SJC),21.58,4:05p - 11:40a
SEA,LIH,2019-12-28,459,1,(PHX),16.18,5:00a - 7:11p
SEA,LIH,2019-12-28,464,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-28,464,1,(HNL),8.70,9:05a - 3:47p
SEA,LIH,2019-12-28,464,1,(SJC),21.58,4:05p - 11:40a
SEA,LIH,2019-12-28,469,1,(OAK),20.58,4:05p - 10:40a
SEA,LIH,2019-12-28,473,1,(SFO),9.45,5:40a - 1:07p
SEA,LIH,2019-12-28,475,1,(PHX),23.65,5:55p - 3:34p
SEA,LIH,2019-12-28,475,1,(PHX),27.27,5:55p - 7:11p
SEA,LIH,2019-12-28,489,1,(SFO),14.92,7:50a - 8:45p
SEA,LIH,2019-12-28,489,1,(LAX),20.02,7:00p - 1:01p
SEA,LIH,2019-12-29,289,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-29,298,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-29,306,0,(),6.08,5:35p - 9:40p
SEA,LIH,2019-12-29,328,1,(SFO),9.42,1:20p - 8:45p
SEA,LIH,2019-12-29,328,1,(LAX),9.58,1:15p - 8:50p
SEA,LIH,2019-12-29,332,2,"(SFO, HNL)",11.12,5:40a - 2:47p
SEA,LIH,2019-12-29,347,1,(OAK),0.25,9:40p - 10:40a
