Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
LIH,HNL,2019-12-15,101,0,(),0.60,6:35p,7:11p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.62,4:15p,4:52p,Hawaiian Airlines
LIH,HNL,2019-12-15,101,0,(),0.62,4:15p,4:52p,Hawaiian Airlines
LIH,OGG,2019-12-14,124,0,(),0.78,2:25p,3:12p,Hawaiian Airlines
LIH,OGG,2019-12-14,124,0,(),0.78,2:25p,3:12p,Hawaiian Airlines
LIH,OGG,2019-12-14,133,0,(),0.82,11:31a,12:20p,Hawaiian Airlines
LIH,OGG,2019-12-14,133,0,(),0.82,11:31a,12:20p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.77,1:50p,3:36p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.77,1:50p,3:36p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.70,7:19a,9:01a,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.70,7:19a,9:01a,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.85,4:59p,6:50p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.85,4:59p,6:50p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.85,7:00p,8:51p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.85,7:00p,8:51p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.88,6:35p,8:28p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.88,6:35p,8:28p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.80,6:32a,8:20a,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),1.80,6:32a,8:20a,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),2.00,4:15p,6:15p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),2.00,4:15p,6:15p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),2.22,8:25p,10:38p,Hawaiian Airlines
LIH,OGG,2019-12-14,155,1,(HNL),2.22,8:25p,10:38p,Hawaiian Airlines
LIH,OGG,2019-12-15,124,0,(),0.78,2:25p,3:12p,Hawaiian Airlines
LIH,OGG,2019-12-15,124,0,(),0.78,2:25p,3:12p,Hawaiian Airlines
LIH,OGG,2019-12-15,124,0,(),0.82,11:31a,12:20p,Hawaiian Airlines
LIH,OGG,2019-12-15,124,0,(),0.82,11:31a,12:20p,Hawaiian Airlines
LIH,OGG,2019-12-15,133,0,(),0.82,10:01a,10:50a,Hawaiian Airlines
LIH,OGG,2019-12-15,133,0,(),0.82,10:01a,10:50a,Hawaiian Airlines
